recipe_slug,name_en,name_hi,name_kn,qty_per_person,unit,category,is_staple,sort_order
palak-paneer,Spinach (palak),पालक,ಪಾಲಕ್ ಸೊಪ್ಪು,0.7,bunch,vegetable,false,1
palak-paneer,Paneer,पनीर,ಪನೀರ್,70,g,dairy,false,2
palak-paneer,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.7,piece,vegetable,false,3
palak-paneer,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.7,piece,vegetable,false,4
palak-paneer,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,5
palak-paneer,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.4,tsp,staple,true,6
palak-paneer,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,7
palak-paneer,Garam masala,गरम मसाला,ಗರಂ ಮಸಾಲ,0.3,tsp,staple,true,8
palak-paneer,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,9
dal-tadka,Toor dal,अरहर दाल,ತೊಗರಿ ಬೇಳೆ,60,g,protein,false,1
dal-tadka,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.5,piece,vegetable,false,2
dal-tadka,Garlic cloves,लहसुन,ಬೆಳ್ಳುಳ್ಳಿ,2,piece,vegetable,false,3
dal-tadka,Ghee,घी,ತುಪ್ಪ,1,tsp,staple,true,4
dal-tadka,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.4,tsp,staple,true,5
dal-tadka,Dried red chilli,सूखी लाल मिर्च,ಒಣ ಕೆಂಪು ಮೆಣಸಿನಕಾಯಿ,0.7,piece,staple,true,6
dal-tadka,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,7
dal-tadka,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,8
matar-paneer,Paneer,पनीर,ಪನೀರ್,60,g,dairy,false,1
matar-paneer,Green peas,हरी मटर,ಹಸಿರು ಬಟಾಣಿ,50,g,vegetable,false,2
matar-paneer,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.7,piece,vegetable,false,3
matar-paneer,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,1,piece,vegetable,false,4
matar-paneer,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,5
matar-paneer,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,6
matar-paneer,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,7
matar-paneer,Coriander powder,धनिया पाउडर,ಧನಿಯಾ ಪುಡಿ,0.4,tsp,staple,true,8
matar-paneer,Garam masala,गरम मसाला,ಗರಂ ಮಸಾಲ,0.3,tsp,staple,true,9
matar-paneer,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,10
paneer-bhurji,Paneer,पनीर,ಪನೀರ್,75,g,dairy,false,1
paneer-bhurji,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.7,piece,vegetable,false,2
paneer-bhurji,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,0.7,piece,vegetable,false,3
paneer-bhurji,Capsicum,शिमला मिर्च,ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,0.3,piece,vegetable,false,4
paneer-bhurji,Green chilli,हरी मिर्च,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,0.5,piece,vegetable,false,5
paneer-bhurji,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,6
paneer-bhurji,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,7
paneer-bhurji,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,8
kadai-paneer,Paneer,पनीर,ಪನೀರ್,70,g,dairy,false,1
kadai-paneer,Capsicum,शिमला मिर्च,ದೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,0.5,piece,vegetable,false,2
kadai-paneer,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,1,piece,vegetable,false,3
kadai-paneer,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,1,piece,vegetable,false,4
kadai-paneer,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,5
kadai-paneer,Coriander powder,धनिया पाउडर,ಧನಿಯಾ ಪುಡಿ,0.4,tsp,staple,true,6
kadai-paneer,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,7
kadai-paneer,Kasuri methi,कसूरी मेथी,ಕಸೂರಿ ಮೆಂತ್ಯ,0.3,tsp,staple,true,8
kadai-paneer,Cooking oil,तेल,ಎಣ್ಣೆ,2,tsp,staple,true,9
paneer-butter-masala,Paneer,पनीर,ಪನೀರ್,70,g,dairy,false,1
paneer-butter-masala,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,1.5,piece,vegetable,false,2
paneer-butter-masala,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.5,piece,vegetable,false,3
paneer-butter-masala,Butter,मक्खन,ಬೆಣ್ಣೆ,10,g,dairy,false,4
paneer-butter-masala,Fresh cream,क्रीम,ಕ್ರೀಮ್,15,ml,dairy,false,5
paneer-butter-masala,Cashews,काजू,ಗೋಡಂಬಿ,8,g,other,false,6
paneer-butter-masala,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,7
paneer-butter-masala,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,8
paneer-butter-masala,Kasuri methi,कसूरी मेथी,ಕಸೂರಿ ಮೆಂತ್ಯ,0.3,tsp,staple,true,9
paneer-butter-masala,Garam masala,गरम मसाला,ಗರಂ ಮಸಾಲ,0.3,tsp,staple,true,10
matar-mushroom,Mushroom,मशरूम,ಅಣಬೆ,120,g,vegetable,false,1
matar-mushroom,Green peas,हरी मटर,ಹಸಿರು ಬಟಾಣಿ,50,g,vegetable,false,2
matar-mushroom,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,1,piece,vegetable,false,3
matar-mushroom,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,1.5,piece,vegetable,false,4
matar-mushroom,Cashews,काजू,ಗೋಡಂಬಿ,8,g,other,false,5
matar-mushroom,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,6
matar-mushroom,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,7
matar-mushroom,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,8
matar-mushroom,Coriander powder,धनिया पाउडर,ಧನಿಯಾ ಪುಡಿ,0.4,tsp,staple,true,9
matar-mushroom,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.4,tsp,staple,true,10
matar-mushroom,"Whole spices (bay leaf, cinnamon, cloves)",खड़े मसाले,"ಇಡೀ ಮಸಾಲೆ (ಚಕ್ಕೆ, ಲವಂಗ)",1,piece,staple,true,11
matar-mushroom,Kasuri methi,कसूरी मेथी,ಕಸೂರಿ ಮೆಂತ್ಯ,0.3,tsp,staple,true,12
matar-mushroom,Garam masala,गरम मसाला,ಗರಂ ಮಸಾಲ,0.3,tsp,staple,true,13
matar-mushroom,Cooking oil,तेल,ಎಣ್ಣೆ,3,tsp,staple,true,14
matar-mushroom,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,15
malai-kofta,Potato (medium),आलू,ಆಲೂಗಡ್ಡೆ,0.6,piece,vegetable,false,1
malai-kofta,Paneer,पनीर,ಪನೀರ್,50,g,dairy,false,2
malai-kofta,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,1,piece,vegetable,false,3
malai-kofta,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,0.5,piece,vegetable,false,4
malai-kofta,Cashews,काजू,ಗೋಡಂಬಿ,10,g,other,false,5
malai-kofta,Raisins,किशमिश,ಒಣದ್ರಾಕ್ಷಿ,5,g,other,false,6
malai-kofta,Maida,मैदा,ಮೈದಾ,10,g,other,false,7
malai-kofta,Green chilli,हरी मिर्च,ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,0.3,piece,vegetable,false,8
malai-kofta,Ginger-garlic paste,अदरक-लहसुन पेस्ट,ಶುಂಠಿ-ಬೆಳ್ಳುಳ್ಳಿ ಪೇಸ್ಟ್,1,tsp,staple,true,9
malai-kofta,Butter,मक्खन,ಬೆಣ್ಣೆ,8,g,dairy,false,10
malai-kofta,Cumin (jeera),जीरा,ಜೀರಿಗೆ,0.4,tsp,staple,true,11
malai-kofta,Turmeric,हल्दी,ಅರಿಶಿನ,0.2,tsp,staple,true,12
malai-kofta,Red chilli powder,लाल मिर्च पाउडर,ಕೆಂಪು ಮೆಣಸಿನ ಪುಡಿ,0.3,tsp,staple,true,13
malai-kofta,Coriander powder,धनिया पाउडर,ಧನಿಯಾ ಪುಡಿ,0.4,tsp,staple,true,14
malai-kofta,Fresh cream,क्रीम,ಕ್ರೀಮ್,15,ml,dairy,false,15
malai-kofta,"Whole spices (bay leaf, cinnamon, cloves)",खड़े मसाले,"ಇಡೀ ಮಸಾಲೆ (ಚಕ್ಕೆ, ಲವಂಗ)",1,piece,staple,true,16
malai-kofta,Kasuri methi,कसूरी मेथी,ಕಸೂರಿ ಮೆಂತ್ಯ,0.3,tsp,staple,true,17
malai-kofta,Garam masala,गरम मसाला,ಗರಂ ಮಸಾಲ,0.3,tsp,staple,true,18
malai-kofta,Coriander leaves,हरा धनिया,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,0.1,bunch,vegetable,false,19
malai-kofta,Cooking oil,तेल,ಎಣ್ಣೆ,3,tsp,staple,true,20
chole,Chickpeas (kabuli chana),काबुली चना,ಕಡಲೆಕಾಳು,60,g,protein,false,1
chole,Onion (medium),प्याज़,ಈರುಳ್ಳಿ,1,piece,vegetable,false,2
chole,Tomato (medium),टमाटर,ಟೊಮೇಟೊ,1,piece,vegetable,false,3
